domain,image,path,width,height,megapixels,aspect_ratio,label_count,luma_mean,luma_std,luma_p01,luma_p05,luma_p50,luma_p95,luma_p99,dark_frac,bright_frac,clip_frac,sat_mean,sat_std,colorfulness,edge_density,grad_mean,grad_p95,laplacian_var,entropy,fft_high_ratio,illum_nonuniformity,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
train_aug,IMG_20260728_091627_aug1_vibration.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091627_aug1_vibration.jpg,8192,6144,50.331648,1.3333333333333333,1,149.77276611328125,47.4580192565918,16.0,41.0,161.0,215.0,229.0,0.03525716145833333,0.027096354166666666,1.953125e-05,22.74927734375,17.285309465146785,11.64713675464689,0.06337890625,38.97037124633789,217.8623504638672,584.4888305664062,3.4237604099142467,0.06421960145235062,34.530750825683214,0.00966796837747097,0.025589192286133766,0.02242187410593033,0.019296875223517418,0.01918945275247097,0.025983072817325592,0.047415364533662796,0.08683919161558151,0.09818685054779053,0.12676432728767395,0.2096582055091858,0.1597786396741867,0.07783528417348862,0.04427734389901161,0.026949869468808174,0.0001464843808207661
train_aug,IMG_20260728_091635_aug1_bgblur.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091635_aug1_bgblur.jpg,8192,6144,50.331648,1.3333333333333333,1,158.0054473876953,42.735198974609375,26.0,69.0,165.0,214.0,230.0,0.014560546875,0.023336588541666668,0.0,18.597249348958332,14.224845382564874,8.872913006543664,0.06292643229166667,35.133846282958984,206.6349334716797,287.1126403808594,3.3077038316943583,0.06513374298810959,29.81223458058575,0.0029785155784338713,0.011582030914723873,0.014879557304084301,0.013496093451976776,0.019179686903953552,0.018069662153720856,0.045364584773778915,0.07249348610639572,0.11217773705720901,0.11465495079755783,0.18146158754825592,0.16290365159511566,0.16222655773162842,0.045195311307907104,0.022841796278953552,0.0004947916604578495
train_aug,IMG_20260728_091644_aug0_vibration.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091644_aug0_vibration.jpg,8192,6144,50.331648,1.3333333333333333,1,147.50083923339844,48.247276306152344,26.0,62.0,164.0,209.0,219.0,0.015071614583333334,0.003125,0.0,20.45041015625,16.241339293460793,8.154916607861699,0.041106770833333334,34.822242736816406,192.98251342773438,448.11370849609375,3.4165441264009653,0.05445638298988342,35.03494599304309,0.0019986978732049465,0.013072916306555271,0.013935547322034836,0.026940103620290756,0.06462890654802322,0.06354492157697678,0.07697916775941849,0.06561198085546494,0.06300456076860428,0.07190429419279099,0.17253580689430237,0.18751953542232513,0.11870767921209335,0.05649088695645332,0.0031250000465661287,0.0
train_aug,IMG_20260728_091645_aug1_defocus.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091645_aug1_defocus.jpg,8192,6144,50.331648,1.3333333333333333,1,147.32562255859375,47.70589065551758,27.0,63.0,164.0,208.0,217.0,0.013424479166666666,0.001767578125,0.0,20.384371744791668,15.625036955034084,7.88271373139909,0.039638671875,34.13156509399414,188.17544555664062,319.7802734375,3.3904161124558985,0.05265107378363609,34.58355629970618,0.001526692765764892,0.011897786520421505,0.014091797173023224,0.025312500074505806,0.06587239354848862,0.06457357108592987,0.07673177123069763,0.06806640326976776,0.06330403685569763,0.07202799618244171,0.17371419072151184,0.19171875715255737,0.12092773616313934,0.048466797918081284,0.0017675780691206455,0.0
train_aug,IMG_20260728_091646_aug1_jpeg.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091646_aug1_jpeg.jpg,8192,6144,50.331648,1.3333333333333333,1,147.4742431640625,47.68953323364258,26.0,63.0,163.0,207.0,216.0,0.015556640625,0.000966796875,0.0,22.646236979166666,14.8517470179608,7.491150688686288,0.04025065104166667,35.4981689453125,199.90496826171875,512.4815673828125,3.3766152181755347,0.05833941698074341,35.053482409847405,0.0021614583674818277,0.013395181857049465,0.013287760317325592,0.022978516295552254,0.06502604484558105,0.06203450635075569,0.07929687201976776,0.06891601532697678,0.0630175769329071,0.07259765267372131,0.16130858659744263,0.20479492843151093,0.1255403608083725,0.044677734375,0.000950520858168602,1.627604251552839e-05
train_aug,IMG_20260728_091648_aug0_glare.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091648_aug0_glare.jpg,8192,6144,50.331648,1.3333333333333333,1,150.6961669921875,48.78049087524414,28.0,64.0,165.0,214.0,224.0,0.013206380208333333,0.010843098958333333,0.0,20.712858072916667,15.545332860137181,8.216262591473857,0.044541015625,37.60319900512695,198.36331176757812,498.2976989746094,3.460248864075688,0.05425484851002693,34.26044603011026,0.0014615885447710752,0.011744791641831398,0.013404947705566883,0.020325521007180214,0.06454752385616302,0.0543098971247673,0.07900716364383698,0.06786458194255829,0.07104817777872086,0.07031575590372086,0.1477506458759308,0.1784440129995346,0.12696614861488342,0.08196614682674408,0.010696614161133766,0.0001464843808207661
train_aug,IMG_20260728_091702_aug1_tunnel.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091702_aug1_tunnel.jpg,8192,6144,50.331648,1.3333333333333333,1,98.2597427368164,32.9454460144043,20.0,47.0,104.0,142.0,192.0,0.022890625,0.0011653645833333334,0.0,32.861751302083334,24.559739068867522,14.444526343120543,0.038557942708333334,22.12538719177246,113.87740325927734,191.51934814453125,3.001386543995644,0.03505263477563858,23.978953428792607,0.005100911483168602,0.01778971403837204,0.029287109151482582,0.10658854246139526,0.15065430104732513,0.10792643576860428,0.20454752445220947,0.21891601383686066,0.11368164420127869,0.018059896305203438,0.008870442397892475,0.008378906175494194,0.006813150830566883,0.0022200520616024733,0.001145833288319409,1.9531249563442543e-05
train_aug,IMG_20260728_091703_1_aug0_vibration.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091703_1_aug0_vibration.jpg,8192,6144,50.331648,1.3333333333333333,1,147.28399658203125,50.15086364746094,23.0,57.0,159.0,216.0,229.0,0.020631510416666665,0.025872395833333332,0.0,22.611995442708334,16.379723078079266,7.456142334004859,0.04747395833333334,31.69284439086914,165.0037841796875,388.9821472167969,3.511495635640002,0.035420846194028854,37.72791977865208,0.002314453013241291,0.018317056819796562,0.01688476651906967,0.02138671837747097,0.025800781324505806,0.07896158844232559,0.10546549409627914,0.12754882872104645,0.04991210997104645,0.057734373956918716,0.12697917222976685,0.13249023258686066,0.13976562023162842,0.07056640833616257,0.025869140401482582,3.2552084121562075e-06
train_aug,IMG_20260728_091707_1_aug1_vibration.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091707_1_aug1_vibration.jpg,8192,6144,50.331648,1.3333333333333333,1,150.8476104736328,52.16408920288086,22.0,53.0,161.0,219.0,227.0,0.024736328125,0.02520182291666667,0.0,21.87310872395833,17.61070754821782,7.853904328015854,0.046484375,33.662071228027344,175.0028533935547,464.93853759765625,3.5167155751626527,0.03478926047682762,37.53942669344025,0.0030110676307231188,0.021725259721279144,0.020081380382180214,0.017880858853459358,0.018655598163604736,0.06786783784627914,0.10063476860523224,0.12090820074081421,0.08280599117279053,0.04211262986063957,0.09057942777872086,0.12286783754825592,0.14309245347976685,0.12257487326860428,0.025198567658662796,3.2552084121562075e-06
train_aug,IMG_20260728_091707_2_aug1_vibration.jpg,/root/autodl-tmp/train_data_2/train/images/IMG_20260728_091707_2_aug1_vibration.jpg,8192,6144,50.331648,1.3333333333333333,1,150.91880798339844,52.15338897705078,22.0,53.0,161.0,220.0,227.0,0.024518229166666666,0.025712890625,3.2552083333333335e-06,21.87080078125,17.60587782145377,7.846654137661355,0.046240234375,33.448307037353516,173.51170349121094,429.7486877441406,3.5169923031063437,0.034349117428064346,37.569534242863554,0.0029231770895421505,0.021595051512122154,0.02013346366584301,0.017705077305436134,0.018870443105697632,0.06826497614383698,0.10001301765441895,0.12071289122104645,0.08262369781732559,0.04218098893761635,0.09025716036558151,0.12265950441360474,0.14466145634651184,0.12168619781732559,0.025706380605697632,6.510416824312415e-06
